Month,Active Users,Avg Lookups/Day,Monthly UPC Lookups,Cumulative UPCs Looked Up,UPC Saturation (%),UPC API Calls Billed,UPC API Cost,API Plan,UPC Storage Size (GB),User Storage Size (GB),UPC Storage Cost,User Storage Cost,Storage Cost,Total Cost,Break Even Revenue/User
108,984635,0.03125,923095,276663433,63.196973098247696,923095,699.0,pro,659.6170258522034,1173.776388168335,659.6170258522034,1173.776388168335,1833.3934140205383,2532.3934140205383,0.0025719108238286656
109,986616,0.03125,924952,277588385,63.40825568817049,924952,699.0,pro,661.8222832679749,1176.137924194336,661.8222832679749,1176.137924194336,1837.9602074623108,2536.960207462311,0.0025713754971157074
110,988344,0.03125,926572,278514957,63.61990832734521,926572,699.0,pro,664.0314030647278,1178.1978607177734,664.0314030647278,1178.1978607177734,1842.2292637825012,2541.229263782501,0.0025711991612055126
111,989851,0.03125,927985,279442942,63.83188373170079,927985,699.0,pro,666.2438917160034,1179.9943447113037,666.2438917160034,1179.9943447113037,1846.2382364273071,2545.238236427307,0.0025713347124236953
112,991165,0.03125,929217,280372159,64.04414055622821,929217,699.0,pro,668.4593176841736,1181.560754776001,668.4593176841736,1181.560754776001,1850.0200724601746,2549.0200724601746,0.0025717414077980707
113,992310,0.03125,930290,281302449,64.25664248127867,930290,699.0,pro,670.6773018836975,1182.9257011413574,670.6773018836975,1182.9257011413574,1853.603003025055,2552.603003025055,0.002572384640913681
114,993308,0.03125,931226,282233675,64.46935821256358,931226,699.0,pro,672.8975176811218,1184.1154098510742,672.8975176811218,1184.1154098510742,1857.012927532196,2556.012927532196,0.0025732330027868457
115,994177,0.03125,932040,283165715,64.68225988217633,932040,699.0,pro,675.11967420578,1185.1513385772705,675.11967420578,1185.1513385772705,1860.2710127830505,2559.2710127830505,0.002574260934202914
116,994934,0.03125,932750,284098465,64.89532373386861,932750,699.0,pro,677.3435235023499,1186.05375289917,677.3435235023499,1186.05375289917,1863.3972764015198,2562.39727640152,0.0025754444781277146
117,995593,0.03125,933368,285031833,65.10852875249773,933368,699.0,pro,679.5688462257385,1186.8393421173096,679.5688462257385,1186.8393421173096,1866.408188343048,2565.408188343048,0.002576763987234792
118,996166,0.03125,933905,285965738,65.32185643560112,933905,699.0,pro,681.795449256897,1187.5224113464355,681.795449256897,1187.5224113464355,1869.3178606033325,2568.3178606033325,0.0025782026897157024
119,996665,0.015625,467186,286432924,65.4285736144987,467186,99.0,dev,682.9093074798584,1188.117265701294,682.9093074798584,1188.117265701294,1871.0265731811523,1970.0265731811523,0.0019766185961994777
120,997100,0.015625,467390,286900314,65.53533739219095,467390,99.0,dev,684.0236520767212,1188.6358261108398,684.0236520767212,1188.6358261108398,1872.659478187561,1971.659478187561,0.001977393920557177
